,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
신한DS,IT서비스 ,19,36,70%,"신한DS, 신한디에스, Shinhan DS, 신한금융, Shinhan, 신한",48%,51%,81%,77%,51%,9%,27%,11%,12%,20%,58%,34%,49%,13%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
우리홈쇼핑,커머스 ,19,36,69%,"우리홈쇼핑, 롯데홈쇼핑, 롯데, Lotte",78%,79%,86%,90%,61%,58%,23%,76%,47%,40%,53%,33%,65%,80%,86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
우진산전,전자-기계 ,19,36,69%,"우진산전, 우진",42%,52%,39%,60%,75%,17%,19%,65%,82%,40%,67%,50%,70%,43%,57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인바디,전자-기계 ,16,36,70%,"인바디, Inbody",19%,36%,46%,79%,43%,12%,13%,23%,44%,26%,69%,78%,57%,33%,48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국장애인고용공단,공공기관 ,19,36,70%,"장애인고용공단, 한국장애인고용공단",65%,67%,32%,72%,53%,82%,42%,66%,32%,41%,22%,50%,90%,68%,47%,-22%,-19%,-20%,180%,-22%,-19%,-20%,180%,6%,27%,-13%,-1%,27%,30%,"10%"
트랜스코스모스코리아,IT서비스,21,36,70%,"트랜스코스모스코리아, transcosmos korea, 트랜스코스모스",72%,51%,40%,62%,71%,91%,81%,74%,94%,95%,72%,71%,97%,38%,32%,-12%,3%,52%,45%,-12%,3%,52%,45%,3%,-6%,6%,29%,13%,0%,"-27%"
피에스앤마케팅,커머스 ,22,36,71%,"피에스앤마케팅, PS&M, PS앤마케팅, PS&Marketing, 피에스앤, 피에스엔",74%,88%,36%,78%,35%,80%,95%,95%,95%,98%,79%,72%,85%,85%,77%,-11%,76%,-12%,24%,-11%,76%,-12%,24%,-32%,42%,18%,-14%,-13%,-18%,"-24%"
하나은행,은행 ,59,36,71%,"하나은행, KEB, KEB하나은행, KEB하나, 하나",20%,12%,8%,31%,56%,22%,20%,17%,25%,15%,46%,38%,9%,8%,20%,-33%,40%,19%,17%,-33%,40%,19%,17%,24%,8%,26%,6%,15%,-8%,"-10%"
한미반도체,반도체 ,15,36,69%,"한미반도체, 한미, Hanmi, Hanmi반도체",50%,52%,77%,79%,20%,13%,62%,15%,10%,9%,73%,94%,73%,8%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
숲,IT ,18,36,69%,#N/A,85%,70%,46%,92%,71%,82%,84%,83%,47%,60%,86%,83%,50%,95%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
롯데캐피탈,금융 ,13,36,70%,#N/A,41%,60%,78%,27%,27%,48%,69%,32%,36%,67%,34%,72%,42%,42%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
성도이엔지,건설-중공업 ,11,36,70%,#N/A,84%,77%,83%,38%,59%,50%,65%,48%,89%,17%,95%,20%,90%,98%,84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
빅게임스튜디오,게임 ,11,36,70%,#N/A,84%,90%,72%,82%,51%,45%,75%,98%,74%,82%,92%,30%,85%,17%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
세이브더칠드런코리아,비영리·재단,11,36,70%,#N/A,89%,64%,48%,93%,96%,66%,51%,69%,86%,44%,93%,83%,95%,37%,70%,-27%,-26%,3%,-9%,-27%,-26%,3%,-9%,52%,-23%,0%,0%,89%,89%,"22%"
NEXON,IT ,46,35,71%,"NEXON, 넥슨",7%,19%,13%,31%,51%,8%,36%,29%,21%,26%,53%,10%,14%,6%,20%,-45%,15%,7%,20%,-45%,15%,7%,20%,-18%,-19%,21%,-3%,-4%,5%,"6%"
가톨릭관동대학교 국제성모병원,병원,10,35,72%,"가톨릭관동대학교 국제성모병원, 성모병원, 국제성모병원, 관동대, 가톨릭관동대 성모병원, 가톨릭관동대병원, 가톨릭관동대, 가톨릭관동대학교",48%,56%,56%,93%,73%,29%,37%,44%,50%,40%,53%,92%,70%,85%,82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
건화,건설-중공업 ,13,35,72%,"건화, Kunhwa",69%,71%,70%,42%,23%,37%,41%,26%,56%,5%,37%,24%,33%,69%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
녹십자,제약-바이오,46,35,71%,"녹십자, GREEN CROSS",85%,88%,64%,56%,85%,88%,87%,94%,96%,98%,72%,87%,91%,82%,92%,-9%,84%,33%,9%,-9%,84%,33%,9%,72%,24%,39%,-10%,-25%,-24%,"-9%"
대원제약,제약-바이오,13,35,72%,대원제약,82%,83%,92%,86%,92%,80%,73%,84%,97%,98%,86%,79%,41%,80%,75%,-25%,-16%,-24%,-30%,-25%,-16%,-24%,-30%,-18%,-28%,5%,-12%,-13%,-22%,"-14%"
롯데쇼핑,커머스,50,35,72%,"롯데롭스, 롭스, LOTTE SHOPPING, 롯데백화점, LOHBs, 롯데슈퍼, 롯데쇼핑, 롯쇼",80%,78%,59%,67%,78%,67%,92%,87%,78%,77%,74%,81%,64%,64%,85%,-26%,0%,-10%,-17%,-26%,0%,-10%,-17%,-16%,-23%,15%,7%,-7%,-4%,"6%"
샘표식품,식음료 ,13,35,72%,"샘표식품, 샘표, Sempio, sempio식품",69%,23%,89%,61%,63%,56%,19%,63%,16%,10%,56%,50%,90%,14%,28%,-17%,35%,48%,-20%,-17%,35%,48%,-20%,-16%,-14%,38%,19%,52%,27%,"51%"
LG전자,IT ,237,35,73%,"엘지전자, LG Electronics, 엘전, LG 전자, LG전자",81%,76%,64%,52%,63%,82%,82%,66%,70%,77%,67%,66%,77%,67%,70%,-19%,-4%,-9%,-2%,-19%,-4%,-9%,-2%,2%,-4%,-13%,-10%,-8%,-7%,"-12%"
진에어,항공 ,30,35,73%,"진에어, JIN AIR",66%,81%,51%,51%,97%,58%,88%,91%,82%,82%,81%,84%,77%,92%,88%,-18%,-1%,0%,70%,-18%,-1%,0%,70%,65%,4%,8%,-7%,-24%,-12%,"-11%"
포스코인터내셔널,자동차 ,17,35,72%,"포스코인터내셔널, Posco인터내셔널, Posco International, 포스코 International, Posco, 포스코",12%,4%,12%,12%,51%,20%,75%,63%,74%,71%,58%,65%,3%,11%,33%,-47%,12%,10%,-7%,-47%,12%,10%,-7%,-6%,-23%,0%,-14%,-31%,-23%,"-21%"
한국유나이티드제약,제약-바이오 ,13,35,73%,"한국유나이티드제약, 유나이티드제약, 유나이티드제약 코리아, 한국유나이티드",64%,69%,68%,42%,29%,11%,19%,14%,20%,21%,62%,91%,39%,86%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
쿠팡로지스틱스서비스,물류,25,35,71%,#N/A,75%,63%,64%,51%,93%,98%,99%,79%,83%,88%,92%,97%,72%,66%,88%,-23%,9%,4%,-9%,-23%,9%,4%,-9%,200%,-46%,-4%,-40%,-19%,-10%,"-24%"
빗썸,IT ,10,35,72%,#N/A,48%,92%,75%,65%,85%,88%,27%,90%,72%,58%,95%,91%,60%,91%,97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
원익홀딩스,반도체 ,10,35,72%,#N/A,88%,95%,86%,89%,51%,24%,19%,36%,14%,14%,14%,24%,94%,64%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국공항보안,항공 ,11,35,72%,#N/A,41%,19%,86%,69%,86%,6%,6%,24%,40%,40%,90%,9%,72%,64%,57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
아이비김영,교육-출판 ,10,35,73%,#N/A,64%,69%,61%,51%,94%,73%,37%,87%,56%,82%,96%,98%,85%,75%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
CJ제일제당,커머스 ,48,34,75%,"CJ 제일제당, CJ CheilJedang, 제일제당, CJ 제당, 씨제이 제일제당, CJ제일제당, CJ제당",95%,95%,74%,67%,68%,82%,80%,72%,92%,90%,82%,74%,73%,80%,94%,-22%,-13%,-15%,-10%,-22%,-13%,-15%,-10%,38%,-6%,-1%,-6%,-1%,-14%,"-19%"
KT텔레캅,보안 ,13,34,75%,"KT텔레캅, KT Telecop, 케이티텔레캅, 케이티텔레콥, KT텔레콥, 케이티Telecop, KT, 케이티",82%,41%,71%,77%,89%,99%,90%,92%,86%,72%,93%,84%,77%,72%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
국립중앙의료원,공공기관 ,12,34,75%,국립중앙의료원,95%,92%,62%,100%,93%,88%,11%,100%,72%,82%,60%,91%,60%,98%,86%,-17%,-7%,1%,38%,-17%,-7%,1%,38%,-84%,95%,4%,100%,-33%,67%,"28%"
대한적십자사,정부·공공기관 ,32,34,74%,"대한적십자사, 대한적십자, 적십자",73%,63%,50%,67%,92%,81%,66%,56%,74%,93%,90%,52%,72%,94%,65%,-24%,9%,4%,4%,-24%,9%,4%,4%,-7%,-23%,-4%,0%,-2%,-20%,"-27%"
CJ대한통운,물류 ,57,34,75%,"대한통운, CJ대한통운, CJ 대한통운",88%,71%,69%,77%,85%,88%,54%,78%,70%,50%,87%,80%,59%,56%,81%,-22%,8%,19%,-5%,-22%,8%,19%,-5%,-4%,-6%,23%,45%,10%,8%,"26%"
동원홈푸드,식음료,18,34,74%,동원홈푸드,41%,51%,84%,38%,69%,25%,26%,51%,68%,71%,85%,50%,54%,61%,57%,-14%,150%,16%,-16%,-14%,150%,16%,-16%,-3%,-26%,63%,14%,40%,19%,"15%"
메가존,IT서비스 ,36,34,73%,메가존,70%,96%,73%,35%,65%,69%,68%,85%,95%,83%,82%,83%,96%,98%,89%,-22%,9%,1%,-2%,-22%,9%,1%,-2%,31%,36%,-4%,10%,-12%,-10%,"-15%"
무림,제지,14,34,74%,"무림, Moorim",72%,90%,97%,77%,55%,95%,78%,67%,67%,82%,53%,50%,50%,35%,28%,-13%,202%,11%,-28%,-13%,202%,11%,-28%,19%,65%,69%,94%,92%,57%,"11%"
삼화페인트,건자재 ,16,34,73%,"삼화페인트, Samwha, Samwha paint, 삼화paint, 삼화",83%,90%,68%,88%,51%,31%,43%,80%,75%,74%,87%,98%,93%,93%,88%,-42%,-14%,-45%,-41%,-42%,-14%,-45%,-41%,-70%,-22%,-19%,-14%,-39%,-34%,"-23%"
샤넬코리아,커머스 ,13,34,75%,샤넬코리아,74%,83%,78%,94%,80%,91%,95%,96%,97%,96%,78%,100%,39%,78%,91%,-31%,-4%,-33%,-12%,-31%,-4%,-33%,-12%,-58%,17%,-26%,-25%,-36%,-33%,"-45%"
소상공인시장진흥공단,공공기관 ,14,34,74%,소상공인시장진흥공단,51%,50%,97%,58%,31%,37%,8%,15%,30%,40%,74%,8%,92%,68%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SCK컴퍼니,커머스 ,122,34,74%,"스타벅스, 스타벅스 코리아, 스벅, STARBUCKS",78%,63%,49%,89%,90%,89%,87%,70%,75%,67%,86%,76%,74%,65%,61%,-21%,11%,17%,11%,-21%,11%,17%,11%,-2%,6%,20%,29%,12%,1%,"21%"
하이프라자,커머스 ,24,34,75%,"엘지베스트샵, LG BEST SHOP, Hiplaza, 베스트샵, 하이프라자",96%,74%,79%,78%,85%,88%,96%,83%,82%,92%,96%,91%,63%,46%,93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
이트너스,IT서비스 ,13,34,74%,"이트너스, Etners",87%,92%,44%,47%,51%,94%,99%,92%,82%,95%,37%,92%,31%,91%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
태영건설,건설-중공업 ,16,34,73%,태영건설,80%,53%,72%,71%,70%,26%,38%,79%,88%,85%,78%,91%,85%,93%,94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
포스코이앤씨,건설-중공업 ,52,34,73%,"포스코이앤씨, 포스코ENC, 포스코E&C, Posco ENC, Posco E&C, Posco, 포스코",19%,14%,26%,16%,24%,15%,19%,17%,22%,25%,31%,24%,39%,31%,34%,-49%,1%,5%,-17%,-49%,1%,5%,-17%,-13%,-4%,-4%,-8%,2%,7%,"-3%"
한국투자증권,증권 ,21,34,74%,"한국 투자 증권, 한국투자증권",83%,55%,60%,77%,86%,94%,65%,65%,77%,77%,92%,96%,31%,99%,94%,-15%,44%,48%,13%,-15%,44%,48%,13%,25%,45%,9%,45%,111%,47%,"-1%"
한양이엔지,건설-중공업 ,19,34,74%,"한양이엔지, Hanyang ENG, 한양ENG, Hanyang이엔지, 한양, Hanyang",75%,59%,75%,77%,35%,85%,63%,65%,67%,55%,80%,50%,42%,88%,73%,-24%,-13%,-18%,36%,-24%,-13%,-18%,36%,25%,54%,-16%,0%,-23%,-12%,"-16%"
현대종합금속,철강,10,34,74%,"현대종합금속, Hyundai Welding",64%,69%,98%,88%,17%,96%,85%,69%,86%,82%,30%,64%,59%,97%,86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국항공서비스,항공 ,12,34,73%,#N/A,22%,42%,60%,38%,5%,5%,2%,31%,12%,12%,12%,11%,43%,77%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
세방전지,자동차 ,15,34,75%,#N/A,91%,90%,50%,80%,86%,77%,31%,73%,36%,60%,68%,98%,13%,60%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
케이에프씨코리아,외식-체인 ,10,34,75%,#N/A,48%,14%,48%,89%,98%,53%,75%,90%,82%,71%,98%,88%,57%,91%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼구아이앤씨,식음료,21,34,75%,#N/A,51%,66%,96%,98%,96%,75%,58%,39%,40%,52%,97%,93%,24%,92%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KCC글라스,건자재,18,33,76%,"KCC글라스, KCC Glass, KCC글래스, KCC",62%,74%,83%,32%,75%,82%,79%,83%,74%,94%,53%,73%,36%,78%,86%,-17%,59%,7%,-8%,-17%,59%,7%,-8%,22%,-1%,-3%,1%,-6%,-3%,"-6%"
코오롱글로벌,자동차 ,14,33,76%,"KOLON GLOBAL, 코오롱글로벌",5%,5%,65%,39%,7%,6%,4%,32%,61%,21%,15%,16%,13%,30%,13%,-39%,54%,65%,-9%,-39%,54%,65%,-9%,10%,26%,14%,24%,28%,-10%,"-4%"
WEMADE,게임 ,25,33,76%,"WEMADE, 위메이드",67%,94%,89%,82%,58%,66%,76%,70%,92%,76%,74%,83%,31%,72%,61%,-16%,5%,4%,28%,-16%,5%,4%,28%,11%,5%,117%,-2%,17%,-1%,"3%"
강동구청,정부·공공기관 ,20,33,78%,"강동구청, 강동구, 강동",82%,65%,51%,88%,79%,68%,70%,44%,52%,46%,70%,69%,70%,69%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
교원,교육-출판 ,10,33,78%,"교원, KYOWON",57%,81%,62%,56%,11%,94%,86%,76%,32%,48%,16%,98%,90%,43%,72%,-3%,55%,108%,38%,-3%,55%,108%,38%,247%,101%,5%,10%,96%,183%,"43%"
동희산업,자동차,21,33,78%,동희산업,83%,75%,90%,96%,77%,40%,60%,74%,83%,91%,89%,80%,73%,73%,59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
미래에셋증권,증권 ,22,33,76%,"미래에셋증권, Miraeasset, 미래에셋, Miraeasset증권",36%,26%,10%,26%,73%,52%,67%,63%,66%,69%,60%,59%,37%,58%,63%,-31%,31%,52%,79%,-31%,31%,52%,79%,98%,-28%,27%,19%,-4%,23%,"-16%"
세방,물류 ,13,33,77%,"세방, Sebang",95%,84%,88%,62%,80%,27%,24%,74%,69%,60%,68%,88%,53%,42%,91%,-33%,-33%,-23%,-52%,-33%,-33%,-23%,-52%,46%,-23%,-6%,15%,47%,-3%,"14%"
씨젠,제약-바이오 ,14,33,77%,씨젠,84%,81%,81%,60%,33%,88%,80%,44%,64%,50%,37%,65%,25%,72%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
씨젠의료재단,병원,15,33,77%,"씨젠의료재단, 씨젠의료",60%,62%,58%,87%,85%,69%,91%,97%,88%,82%,93%,60%,64%,34%,76%,-8%,128%,41%,38%,-8%,128%,41%,38%,233%,75%,34%,-29%,4%,30%,"4%"
SK스페셜티,반도체,12,33,76%,"에스케이스페셜티, SK specialty, SK, 에스케이",90%,65%,84%,98%,85%,89%,43%,53%,42%,42%,68%,22%,33%,42%,55%,-2%,160%,237%,97%,-2%,160%,237%,97%,-20%,-6%,4%,48%,63%,33%,"8%"
엘앤에프,전자-기계 ,10,33,77%,"엘앤에프, LNF",57%,74%,96%,96%,95%,96%,65%,63%,95%,55%,90%,33%,85%,91%,72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
웰컴저축은행,금융 ,18,33,78%,"웰컴저축은행, 웰컴, 웰컴저축, Welcome bank",43%,62%,66%,78%,61%,44%,41%,67%,70%,62%,72%,77%,70%,46%,82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
일진글로벌,자동차 ,22,33,79%,"일진글로벌, ILJIN",86%,76%,59%,69%,73%,67%,31%,24%,27%,64%,89%,56%,46%,59%,71%,-1%,32%,109%,-5%,-1%,32%,109%,-5%,96%,30%,95%,42%,370%,59%,"3%"
주성엔지니어링,반도체 ,12,33,77%,"주성엔지니어링, 주성, Jusung",85%,67%,59%,98%,74%,78%,90%,40%,36%,28%,90%,62%,40%,95%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
주택관리공단,공공기관 ,18,33,78%,"주택관리공단, 주택공단",70%,61%,73%,78%,43%,68%,35%,36%,61%,76%,53%,50%,76%,87%,47%,-27%,-2%,37%,-22%,-27%,-2%,37%,-22%,-48%,47%,94%,27%,94%,83%,"36%"
차병원,병원 ,16,33,76%,차병원,49%,58%,58%,58%,69%,15%,58%,63%,52%,58%,88%,52%,95%,77%,63%,-5%,113%,41%,42%,-5%,113%,41%,42%,79%,126%,20%,-4%,0%,-13%,"2%"
테슬라코리아,자동차 ,10,33,77%,"테슬라코리아, 테슬라, Tesla, 테슬라 한국, Tesla Korea",48%,62%,66%,95%,94%,88%,19%,97%,92%,98%,89%,50%,57%,3%,61%,-23%,90%,5%,25%,-23%,90%,5%,25%,-29%,-29%,-13%,29%,49%,4%,"-40%"
한국도로공사서비스,공기업,19,33,78%,"한국도로공사서비스, 도로공사서비스, 도로공사, 한국도로공사",89%,71%,48%,62%,62%,77%,82%,55%,77%,88%,73%,59%,75%,91%,67%,-24%,-17%,-5%,12%,-24%,-17%,-5%,12%,4%,15%,83%,-10%,-18%,-23%,"-20%"
환인제약,제약-바이오 ,12,33,77%,"환인제약, 환인",53%,61%,56%,81%,51%,38%,65%,52%,67%,65%,93%,96%,90%,86%,72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
직업군인,정부·공공기관 ,27,33,76%,#N/A,85%,66%,44%,77%,87%,60%,82%,56%,62%,93%,86%,95%,85%,71%,55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
법무법인(유한)대륜,법률,10,33,76%,#N/A,94%,93%,97%,95%,88%,95%,3%,45%,8%,48%,84%,94%,72%,30%,72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국해운조합,공공기관,10,33,77%,#N/A,88%,64%,67%,98%,99%,96%,99%,85%,99%,98%,97%,100%,96%,84%,92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국미쓰비시엘리베이터,전자-기계 ,14,33,77%,#N/A,72%,59%,56%,71%,54%,93%,91%,86%,28%,26%,64%,86%,57%,80%,82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
넷게임즈,게임 ,26,33,78%,#N/A,13%,35%,48%,9%,7%,11%,19%,23%,12%,4%,13%,30%,22%,19%,17%,-48%,14%,8%,-19%,-48%,14%,8%,-19%,60%,30%,-8%,-3%,10%,14%,"28%"
사조대림,식음료 ,12,33,78%,#N/A,93%,76%,74%,62%,91%,97%,91%,95%,84%,100%,95%,89%,89%,82%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
아이에스시,반도체 ,11,33,78%,#N/A,79%,95%,71%,53%,93%,90%,81%,86%,94%,93%,97%,50%,60%,68%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
서진산업,자동차 ,12,33,79%,#N/A,53%,29%,65%,81%,86%,41%,73%,90%,67%,65%,98%,83%,72%,82%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
호텔신라,커머스 ,16,32,80%,"HOTEL SHILLA, 호텔신라",90%,84%,70%,51%,77%,77%,99%,97%,96%,74%,64%,76%,66%,82%,79%,-22%,-11%,-23%,9%,-22%,-11%,-23%,9%,75%,-10%,12%,-38%,-24%,-23%,"-5%"
KCC,건자재 ,40,32,80%,"KCC, 케이씨씨",86%,71%,77%,77%,81%,56%,60%,82%,70%,48%,53%,51%,85%,77%,89%,-19%,10%,33%,-2%,-19%,10%,33%,-2%,4%,1%,54%,33%,-6%,-2%,"15%"
SK오션플랜트,조선 ,13,32,81%,"SK오션플랜트, SK oceanplant, 에스케이오션플랜트, 에스케이oceanplant, SK, 에스케이",74%,50%,68%,17%,67%,37%,32%,90%,82%,94%,64%,54%,85%,86%,90%,-31%,-4%,39%,-17%,-31%,-4%,39%,-17%,53%,-13%,17%,41%,29%,9%,"-30%"
더존비즈온,IT서비스,41,32,79%,더존비즈온,55%,68%,75%,85%,56%,56%,31%,47%,40%,49%,78%,57%,90%,71%,57%,-15%,50%,59%,-11%,-15%,50%,59%,-11%,6%,54%,31%,29%,60%,32%,"10%"
바이넥스,제약-바이오 ,21,32,79%,"바이넥스, Binex",66%,51%,79%,27%,32%,59%,65%,42%,45%,57%,54%,68%,91%,65%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
신성이엔지,에너지-화학 ,12,32,80%,"신성이엔지, Shinsung ENG, 신성ENG",90%,75%,72%,87%,85%,72%,73%,99%,99%,96%,80%,15%,97%,67%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
CJ푸드빌,외식-체인 ,11,32,81%,"씨제이푸드빌, CJ푸드빌, CJ FOODVILL",84%,81%,67%,88%,99%,86%,97%,95%,95%,95%,97%,96%,71%,94%,86%,-31%,3%,-6%,-19%,-31%,3%,-6%,-19%,-54%,-47%,-1%,-27%,-24%,-17%,"-17%"
아난티,호텔-레저 ,13,32,80%,"아난티, Ananti",93%,67%,81%,69%,92%,72%,46%,76%,67%,96%,96%,94%,86%,57%,99%,-16%,80%,73%,-20%,-16%,80%,73%,-20%,20%,8%,22%,35%,22%,20%,"-40%"
에스디바이오센서,제약-바이오 ,20,32,80%,"에스디바이오센서, SD Biosensor, SD바이오센서, 에스디biosensor",71%,64%,81%,89%,93%,88%,78%,86%,44%,88%,88%,93%,32%,87%,87%,-33%,18%,-11%,-15%,-33%,18%,-11%,-15%,-41%,25%,-29%,-12%,-20%,21%,"-3%"
유라코퍼레이션,자동차 ,32,32,79%,"유라코프, 유라코퍼레이션",78%,72%,79%,80%,87%,90%,31%,88%,89%,82%,91%,81%,78%,66%,72%,-30%,11%,28%,-30%,-30%,11%,28%,-30%,-49%,16%,-13%,12%,-4%,-7%,"6%"
KB손해사정,보험 ,14,32,80%,"케이비손해사정, KB손해사정",96%,97%,40%,94%,100%,100%,88%,99%,99%,99%,93%,99%,85%,96%,100%,-43%,-46%,-56%,-17%,-43%,-46%,-56%,-17%,-77%,-71%,-60%,-32%,-56%,-49%,"-46%"
쿠팡풀필먼트서비스,물류 ,86,32,79%,쿠팡풀필먼트서비스,86%,85%,64%,69%,68%,82%,81%,84%,83%,82%,85%,51%,66%,49%,83%,-31%,0%,-14%,4%,-31%,0%,-14%,4%,-20%,8%,-7%,-8%,-21%,-2%,"-16%"
평화산업,자동차 ,14,32,79%,"평화산업, Pyunghwa, Pyunghwa산업, 평화",58%,81%,71%,47%,41%,47%,60%,44%,75%,55%,53%,8%,35%,64%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국단자공업,자동차 ,22,32,80%,"한국단자공업, KET, 한국단자, 단자공업",79%,82%,81%,46%,77%,47%,88%,72%,76%,56%,61%,83%,74%,76%,79%,-11%,25%,19%,10%,-11%,25%,19%,10%,91%,21%,4%,-33%,3%,4%,"15%"
한국수목원정원관리원,공공기관 ,12,32,79%,"한국수목원정원관리원, 수목원정원관리원, 한수정, 수목원관리원, 정원관리원, 한국수목원관리원, 한국정원관리원",95%,91%,37%,81%,80%,78%,61%,88%,82%,90%,84%,87%,86%,82%,90%,-18%,-10%,-4%,21%,-18%,-10%,-4%,21%,34%,38%,11%,8%,-6%,-11%,"-24%"
홈플러스,커머스 ,54,32,81%,"홈플, Home plus, Homeplus, 홈플러스",92%,71%,43%,44%,51%,80%,79%,81%,83%,93%,47%,32%,85%,52%,67%,-19%,19%,43%,-1%,-19%,19%,43%,-1%,29%,3%,17%,3%,-9%,1%,"-12%"
간호사,보건의료 ,16,32,79%,#N/A,87%,71%,77%,81%,85%,95%,100%,99%,23%,82%,76%,69%,85%,86%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
리뉴어스,에너지-화학,16,32,80%,#N/A,90%,93%,85%,71%,77%,69%,81%,49%,84%,84%,41%,50%,89%,79%,72%,-14%,42%,30%,-5%,-14%,42%,30%,-5%,27%,-13%,42%,27%,7%,-37%,"-14%"
라인건설,건설-중공업,13,32,80%,#N/A,93%,92%,84%,93%,64%,72%,35%,52%,75%,82%,93%,50%,65%,9%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
티와이엠,전자-기계 ,11,32,81%,#N/A,92%,81%,91%,77%,66%,73%,41%,70%,64%,99%,74%,65%,49%,55%,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KG스틸,철강 ,15,31,82%,"KG스틸, KG steel, 케이지스틸, 케이지steel, KG, 케이지",85%,84%,91%,48%,96%,96%,95%,95%,96%,68%,80%,19%,79%,83%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
교보생명보험,금융 ,53,31,81%,"KYOBO LIFE, 교보생명, 교보생명보험",87%,93%,56%,63%,77%,91%,89%,97%,98%,93%,81%,99%,92%,97%,84%,-15%,25%,-4%,50%,-15%,25%,-4%,50%,120%,6%,12%,-11%,-29%,-16%,"2%"
파리크라상,외식-체인 ,25,31,82%,"PARIS CROSSANT, 파리크라상",67%,82%,56%,89%,77%,85%,95%,93%,93%,90%,83%,97%,45%,83%,96%,-26%,-2%,-14%,25%,-26%,-2%,-14%,25%,2%,-32%,-23%,0%,-35%,-28%,"-34%"
신세계푸드,식음료 ,17,31,81%,"SHINSEGAE FOOD, 신세계푸드, 신세계 푸드",75%,91%,58%,96%,98%,69%,81%,96%,89%,88%,88%,95%,68%,80%,92%,-35%,23%,-17%,-14%,-35%,23%,-17%,-14%,-65%,-39%,-14%,-1%,-15%,6%,"8%"
국립암센터,공공기관 ,11,31,82%,"국립암센터, 암센터",68%,61%,96%,96%,94%,56%,4%,63%,61%,42%,85%,80%,99%,86%,57%,-24%,64%,38%,-34%,-24%,64%,38%,-34%,-51%,-5%,-7%,27%,14%,50%,"16%"
